id,path,reference,hypothesis
1688-142285-0000,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0000.wav,THERE'S IRON THEY SAY IN ALL OUR BLOOD AND A GRAIN OR TWO PERHAPS IS GOOD BUT HIS HE MAKES ME HARSHLY FEEL HAS GOT A LITTLE TOO MUCH OF STEEL ANON,THERE'S IRON THEY SAY IN ALL OUR BLOOD 
1688-142285-0001,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0001.wav,MARGARET SAID MISTER HALE AS HE RETURNED FROM SHOWING HIS GUEST DOWNSTAIRS I COULD NOT HELP WATCHING YOUR FACE WITH SOME ANXIETY WHEN MISTER THORNTON MADE HIS CONFESSION OF HAVING BEEN A SHOP BOY,MARGARET SAID MR. HALL AS HE RETURNED FROM SHOWING HIS GUEST DOWNSTAIRS I COULD NOT HELP WATCHING YOUR FACE WITH SOME ANXIETY WHEN MR. THORNTON MADE HIS CONFESSION OF HAVING BEEN A SHOP BOY 
1688-142285-0003,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0003.wav,I REALLY LIKED THAT ACCOUNT OF HIMSELF BETTER THAN ANYTHING ELSE HE SAID,I REALLY LIKE THAT ACCOUNT OF HIMSELF BETTER THAN ANYTHING ELSE HE SAID 
1688-142285-0005,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0005.wav,YOU WHO WERE ALWAYS ACCUSING PEOPLE OF BEING SHOPPY AT HELSTONE,YOU WHO WERE ALWAYS ACCUSING PEOPLE OF BEING CHOPPY AT HELSTON 
1688-142285-0006,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0006.wav,I DON'T THINK MISTER HALE YOU HAVE DONE QUITE RIGHT IN INTRODUCING SUCH A PERSON TO US WITHOUT TELLING US WHAT HE HAD BEEN,I DON'T THINK MR. HALE YOU HAVE DONE QUITE RIGHT IN INTRODUCING SUCH A PERSON TO US WITHOUT TELLING US WHAT HE HAD BEEN 
1688-142285-0007,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0007.wav,I REALLY WAS VERY MUCH AFRAID OF SHOWING HIM HOW MUCH SHOCKED I WAS AT SOME PARTS OF WHAT HE SAID,I REALLY WAS VERY MUCH AFRAID OF SHOWING HIM HOW MUCH SHOCKED I WAS AT SOME PART OF WHAT HE SAID 
1688-142285-0010,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0010.wav,HIS FATHER SPECULATED WILDLY FAILED AND THEN KILLED HIMSELF BECAUSE HE COULD NOT BEAR THE DISGRACE,HIS FATHER SPECULATED WILDLY FAILED 
1688-142285-0011,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0011.wav,ALL HIS FORMER FRIENDS SHRUNK FROM THE DISCLOSURES THAT HAD TO BE MADE OF HIS DISHONEST GAMBLING WILD HOPELESS STRUGGLES MADE WITH OTHER PEOPLE'S MONEY TO REGAIN HIS OWN MODERATE PORTION OF WEALTH,ALL HIS FORMER FRIENDS SHRUNK FROM THE DISCLOSURES THAT HAD TO BE MADE OF HIS DISHONEST GAMBLING 
1688-142285-0013,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0013.wav,AT LEAST NO FRIEND CAME FORWARDS IMMEDIATELY AND MISSUS THORNTON IS NOT ONE I FANCY TO WAIT TILL TARDY KINDNESS COMES TO FIND HER OUT,AT LEAST NO FRIEND CAME FORWARDS IMMEDIATELY AND MR. THORNTON IS NOT ONE I FANCY TO WAIT TILL TARDY KINDNESS COMES TO FIND HER OUT 
1688-142285-0016,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0016.wav,OH PAPA BY THAT TESTING EVERYTHING BY THE STANDARD OF WEALTH,OP PAPA BY THAT TESTING EVERYTHING BY THE STANDARD OF WEALTH 
1688-142285-0018,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0018.wav,AND THE POOR MEN AROUND HIM THEY WERE POOR BECAUSE THEY WERE VICIOUS OUT OF THE PALE OF HIS SYMPATHIES BECAUSE THEY HAD NOT HIS IRON NATURE AND THE CAPABILITIES THAT IT GIVES HIM FOR BEING RICH,AND THE POOR MEN AROUND HIM THEY WERE POOR BECAUSE THEY WERE VICIOUS OUT OF THE PALE OF HIS SYMPATHIES BECAUSE THEY HAD NOT HIS ION NATURE AND THE CAPABILITIES THAT IT GIVES HIM FOR BEING RICH 
1688-142285-0020,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0020.wav,IMPROVIDENT AND SELF INDULGENT WERE HIS WORDS,IMPROV AND SELF INDULGENT WERE HIS WORDS 
1688-142285-0022,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0022.wav,JUST AS SHE WAS LEAVING THE ROOM SHE HESITATED SHE WAS INCLINED TO MAKE AN ACKNOWLEDGMENT WHICH SHE THOUGHT WOULD PLEASE HER FATHER BUT WHICH TO BE FULL AND TRUE MUST INCLUDE A LITTLE ANNOYANCE,JUST AS SHE WAS LEAVING THE ROOM SHE HESITATED 
1688-142285-0024,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0024.wav,PAPA I DO THINK MISTER THORNTON A VERY REMARKABLE MAN BUT PERSONALLY I DON'T LIKE HIM AT ALL,PAPA 
1688-142285-0029,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0029.wav,THERE WERE SEVERAL OTHER SIGNS OF SOMETHING WRONG ABOUT MISSUS HALE,THERE WERE SEVERAL OTHER SIGNS OF SOMETHING WRONG ABOUT MRS HALE 
1688-142285-0030,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0030.wav,SHE AND DIXON HELD MYSTERIOUS CONSULTATIONS IN HER BEDROOM FROM WHICH DIXON WOULD COME OUT CRYING AND CROSS AS WAS HER CUSTOM WHEN ANY DISTRESS OF HER MISTRESS CALLED UPON HER SYMPATHY,SHE AND DIXON HELD MYSTERIOUS CONSULTATIONS IN A BEDROOM FROM WHICH DIXON WOULD COME OUT CRYING AND CROSS AS WAS A CUSTOM WHEN ANY DISTRESS OF HER MISTRESS CALLED UPON HER SYMPATHY 
1688-142285-0031,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0031.wav,ONCE MARGARET HAD GONE INTO THE CHAMBER SOON AFTER DIXON LEFT IT AND FOUND HER MOTHER ON HER KNEES AND AS MARGARET STOLE OUT SHE CAUGHT A FEW WORDS WHICH WERE EVIDENTLY A PRAYER FOR STRENGTH AND PATIENCE TO ENDURE SEVERE BODILY SUFFERING,ONCE MARGARET HAD GONE INTO THE CHAMBER SOON AFTER DIXON LEFT IT AND FOUND HER MOTHER ON HER KNEES 
1688-142285-0032,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0032.wav,BUT THOUGH SHE RECEIVED CARESSES AND FOND WORDS BACK AGAIN IN SUCH PROFUSION AS WOULD HAVE GLADDENED HER FORMERLY YET SHE FELT THAT THERE WAS A SECRET WITHHELD FROM HER AND SHE BELIEVED IT BORE SERIOUS REFERENCE TO HER MOTHER'S HEALTH,BUT THOUGH SHE RECEIVED CARESSES AND FOND WORDS BACK AGAIN 
1688-142285-0033,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0033.wav,SHE LAY AWAKE VERY LONG THIS NIGHT PLANNING HOW TO LESSEN THE EVIL INFLUENCE OF THEIR MILTON LIFE ON HER MOTHER,SHE LAY AWAKE VERY LONG THIS NIGHT 
1688-142285-0034,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0034.wav,A SERVANT TO GIVE DIXON PERMANENT ASSISTANCE SHOULD BE GOT IF SHE GAVE UP HER WHOLE TIME TO THE SEARCH AND THEN AT ANY RATE HER MOTHER MIGHT HAVE ALL THE PERSONAL ATTENTION SHE REQUIRED AND HAD BEEN ACCUSTOMED TO HER WHOLE LIFE,A SERVANT GIVE DIXON PERMANENT ASSISTANCE SHOULD BE GOT IF SHE GAVE UP THE WHOLE TIME TO THE SEARCH 
1688-142285-0035,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0035.wav,VISITING REGISTER OFFICES SEEING ALL MANNER OF UNLIKELY PEOPLE AND VERY FEW IN THE LEAST LIKELY ABSORBED MARGARET'S TIME AND THOUGHTS FOR SEVERAL DAYS,VISITING REGISTER OFFICERS SEEING ALL MANNER OF UNLIKELY PEOPLE AND VERY FEW IN THE LEAST LIKELY ABSORBED MARGARET'S TIME AND THOUGHTS FOR SEVERAL DAYS 
1688-142285-0036,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0036.wav,ONE AFTERNOON SHE MET BESSY HIGGINS IN THE STREET AND STOPPED TO SPEAK TO HER,ONE AFTERNOON SHE MET BESSIE HIGGINS IN THE STREET AND STOPPED TO SPEAK TO HER 
1688-142285-0037,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0037.wav,WELL BESSY HOW ARE YOU,WELL BESSIE HOW ARE YOU 
1688-142285-0038,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0038.wav,BETTER AND NOT BETTER IF YO KNOW WHAT THAT MEANS,BETTER AND NOT BETTER IF YOU KNOW WHAT THAT MEANS 
1688-142285-0040,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0040.wav,I'M BETTER IN NOT BEING TORN TO PIECES BY COUGHING O'NIGHTS BUT I'M WEARY AND TIRED O MILTON AND LONGING TO GET AWAY TO THE LAND O BEULAH AND WHEN I THINK I'M FARTHER AND FARTHER OFF MY HEART SINKS AND I'M NO BETTER I'M WORSE,I'M BETTER IN NOT BEING TORN TO PIECES BY COUGHING ON NIGHTS BUT I'M WEARY AND TIRED OF MILTON 
1688-142285-0044,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0044.wav,BESSY DO YOU WISH TO DIE,BESSIE 
1688-142285-0045,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0045.wav,BESSY WAS SILENT IN HER TURN FOR A MINUTE OR TWO THEN SHE REPLIED,BESSIE WAS SILENT IN HER TURN FOR A MINUTE OR TWO 
1688-142285-0046,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0046.wav,NOUGHT WORSE THAN MANY OTHERS I RECKON,NOT WORSE THAN MANY OTHERS I RECKON 
1688-142285-0048,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0048.wav,YOU KNOW I'M A STRANGER HERE SO PERHAPS I'M NOT SO QUICK AT UNDERSTANDING WHAT YOU MEAN AS IF I'D LIVED ALL MY LIFE AT MILTON,YOU KNOW I'M A STRANGER HERE SO PERHAPS I'M NOT SO QUICK AT UNDERSTANDING WHAT YOU MEAN AS IF I'D LIVED ALL MY LIFE IN MILTON 
1688-142285-0052,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0052.wav,AS THEY TURNED UP INTO A SMALL COURT OPENING OUT OF A SQUALID STREET BESSY SAID,AS THEY TURNED UP INTO A SMALL COURT OPENING OUT INTO A SQUALID STREET 
1688-142285-0053,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0053.wav,YO'LL NOT BE DAUNTED IF FATHER'S AT HOME AND SPEAKS A BIT GRUFFISH AT FIRST,YOU'LL NOT BE DAUNTED IF FATHER'S AT HOME AND SPEAKS A BIT GRUFFY AT 1ST 
1688-142285-0055,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0055.wav,GASPED BESSY AT LAST,GASPED BESSIE AT LAST 
1688-142285-0056,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0056.wav,BESSY TOOK A LONG AND FEVERISH DRAUGHT AND THEN FELL BACK AND SHUT HER EYES,BESSIE TOOK A LONG AND FEVERISH DRAUGHT 
1688-142285-0057,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0057.wav,MARGARET BENT OVER AND SAID BESSY DON'T BE IMPATIENT WITH YOUR LIFE WHATEVER IT IS OR MAY HAVE BEEN,MARGARET BENT OVER AND SAID BESSIE 
1688-142285-0058,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0058.wav,REMEMBER WHO GAVE IT YOU AND MADE IT WHAT IT IS,REMEMBER WHO GAVE IT TO YOU AND MADE IT WHAT IT IS 
1688-142285-0059,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0059.wav,NOW I'LL NOT HAVE MY WENCH PREACHED TO,NOW I'LL NOT HAVE MY WENCH PREACHED TOO 
1688-142285-0063,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0063.wav,I DON'T BELIEVE ALL I HEAR NO NOT BY A BIG DEAL,I DON'T BELIEVE ALL I HEAR 
1688-142285-0064,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0064.wav,BUT HOO'S COME AT LAST AND HOO'S WELCOME AS LONG AS HOO'LL KEEP FROM PREACHING ON WHAT HOO KNOWS NOUGHT ABOUT,BUT WHO'S COME AT LAST 
1688-142285-0066,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0066.wav,BUT THE GIRL ONLY PLEADED THE MORE WITH MARGARET,BUT THE GIRL ONLY PLAYED THE MORE WITH MARGARET 
1688-142285-0068,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0068.wav,I SOMETIMES THINK I SHALL BE MOPED WI SORROW EVEN IN THE CITY OF GOD IF FATHER IS NOT THERE,I SOMETIMES THINK I SHALL BE MURKED WITH SORROW EVEN IN THE CITY OF GOD IF OTHER IS NOT THERE 
1688-142285-0069,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0069.wav,THE FEVERISH COLOUR CAME INTO HER CHEEK AND THE FEVERISH FLAME INTO HER EYE,THE FEVERISH COLO CAME INTO HER CHEEKS AND THE FEVERISH FLAME INTO HER EYE 
1688-142285-0070,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0070.wav,BUT YOU WILL BE THERE FATHER YOU SHALL OH MY HEART,BUT YOU'LL BE THERE FATHER YE SHALL O MY HEART 
1688-142285-0071,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0071.wav,SHE PUT HER HAND TO IT AND BECAME GHASTLY PALE,SHE PUT HER A TO IT AND BECAME GHASTLY PALE 
1688-142285-0073,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0073.wav,PRESENTLY THE SPASM THAT FORESHADOWED DEATH HAD PASSED AWAY AND BESSY ROUSED HERSELF AND SAID,PRESENTLY THE SPASM THAT FORESHADOWED DEATH HAD PASSED AWAY 
1688-142285-0074,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0074.wav,I'LL GO TO BED IT'S BEST PLACE BUT CATCHING AT MARGARET'S GOWN YO'LL COME AGAIN I KNOW YO WILL BUT JUST SAY IT,I'LL GO TO BED IT'S BEST PLACE BUT 
1688-142285-0080,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0080.wav,SUPPOSE I TRY SAID MISTER HALE,SPOSE I TRY SAID MR. HALE 
1688-142285-0081,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0081.wav,EVERYBODY ELSE HAS HAD THEIR TURN AT THIS GREAT DIFFICULTY NOW LET ME TRY,EVERYBODY ELSE HAS HAD THEIR TURN OF THIS GREAT DIFFICULTY NOW LET ME TRY 
1688-142285-0083,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0083.wav,WHAT WOULD YOU DO PAPA HOW WOULD YOU SET ABOUT IT,WHAT WOULD YOU DO PAPA 
1688-142285-0084,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0084.wav,WHY I WOULD APPLY TO SOME GOOD HOUSE MOTHER TO RECOMMEND ME ONE KNOWN TO HERSELF OR HER SERVANTS,WELL I 
1688-142285-0085,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0085.wav,VERY GOOD BUT WE MUST FIRST CATCH OUR HOUSE MOTHER,VERY GOOD BUT WE MUST 1ST CATCH OUR HOUSE MOTHER 
1688-142285-0087,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0087.wav,MISSUS THORNTON THE ONLY MOTHER HE HAS I BELIEVE SAID MISTER HALE QUIETLY,MR. THORNTON THE ONLY MOTHER HE HAS I BELIEVE 
1688-142285-0088,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0088.wav,I SHALL LIKE TO SEE HER SHE MUST BE AN UNCOMMON PERSON HER MOTHER ADDED,I SHALL LIKE TO SEE HER SHE MUST BE AN UNCOMMON PERSON 
1688-142285-0090,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0090.wav,SHE SOUNDED TO BE SUCH A CAREFUL ECONOMICAL PERSON THAT I SHOULD LIKE ANY ONE OUT OF THE SAME FAMILY,SHE SOUNDED TO BE SUCH A CAREFUL ECONOMICAL PERSON 
1688-142285-0091,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0091.wav,MY DEAR SAID MISTER HALE ALARMED PRAY DON'T GO OFF ON THAT IDEA,MY DEAR SAID MR. HELL ALARMED PRAY DON'T GO OFF ON THAT IDEA 
1688-142285-0092,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0092.wav,I AM SURE AT ANY RATE SHE WOULD NOT LIKE STRANGERS TO KNOW ANYTHING ABOUT IT,I'M SURE AT ANY RATE SHE WOULD NOT LIKE STRANGERS TO KNOW ANYTHING ABOUT IT 
1688-142285-0093,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0093.wav,TAKE NOTICE THAT IS NOT MY KIND OF HAUGHTINESS PAPA IF I HAVE ANY AT ALL WHICH I DON'T AGREE TO THOUGH YOU'RE ALWAYS ACCUSING ME OF IT,TAKE NOTICE THAT THIS IS NOT MY KIND OF FORTS PAPA IF I HAVE ANY AT ALL WHICH I DON'T AGREE TO SO YOU ALWAYS ACCUSING ME OF IT 
1688-142285-0094,datasets/test-other/LibriSpeech/test-other/1688/142285/1688-142285-0094.wav,I DON'T KNOW POSITIVELY THAT IT IS HERS EITHER BUT FROM LITTLE THINGS I HAVE GATHERED FROM HIM I FANCY SO,I DON'T KNOW POSITIVELY THAT IT IS HERS EITHER 
1998-15444-0000,datasets/test-other/LibriSpeech/test-other/1998/15444/1998-15444-0000.wav,IF CALLED TO A CASE SUPPOSED OR SUSPECTED TO BE ONE OF POISONING THE MEDICAL MAN HAS TWO DUTIES TO PERFORM TO SAVE THE PATIENT'S LIFE AND TO PLACE HIMSELF IN A POSITION TO GIVE EVIDENCE IF CALLED ON TO DO SO,IF CALLED TO A CASE SUPPOSED OR SUSPECTED TO BE ONE OF POISONING THE MEDICAL MAN HAS TWO DUTIES TO PERFORM TO SAVE THE PATIENT'S LIFE AND TO PLACE HIMSELF IN A POSITION TO GIVE EVIDENCE IF CALLED UNTO DO SO 
1998-15444-0002,datasets/test-other/LibriSpeech/test-other/1998/15444/1998-15444-0002.wav,HE SHOULD NOTICE THE POSITION AND TEMPERATURE OF THE BODY THE CONDITION OF RIGOR MORTIS MARKS OF VIOLENCE APPEARANCE OF LIPS AND MOUTH,HE SHOULD NOTICE THE POSITION AND TEMPERATURE OF THE BODY THE CONDITION OF RIGOUR MOTIVES MARKS OF VIOLENCE APPEARANCE OF LIPS AND MOUTHS 
1998-15444-0003,datasets/test-other/LibriSpeech/test-other/1998/15444/1998-15444-0003.wav,IN MAKING A POST MORTEM EXAMINATION THE ALIMENTARY CANAL SHOULD BE REMOVED AND PRESERVED FOR FURTHER INVESTIGATION,IN MAKING A POST MODEM EXAMINATION THE ELEMENTARY CANAL SHOULD BE REMOVED AND PRESERVED FOR FURTHER INVESTIGATION 
